company,loc_city,loc_state,loc_country,rocket,year,status_rocket,mission_success
46,35,6,20,50.0,2020.0,0,1
7,120,8,3,29.75,2020.0,0,1
46,54,29,20,62.0,2020.0,0,1
42,100,2,10,65.0,2020.0,0,1
48,69,6,20,145.0,2020.0,0,1
7,42,27,3,64.68,2020.0,0,1
42,102,2,10,48.5,2020.0,0,1
7,21,34,3,62.0,2020.0,0,1
46,68,6,20,50.0,2020.0,0,1
24,18,28,9,90.0,2020.0,0,1
36,45,32,20,46.0,2020.0,0,1
15,121,8,3,28.3,2020.0,0,0
7,33,35,3,29.15,2020.0,0,1
18,53,17,8,62.0,2020.0,0,1
7,120,8,3,29.75,2020.0,0,1
41,55,13,13,7.5,2020.0,0,0
7,42,27,3,64.68,2020.0,0,1
46,68,6,20,50.0,2020.0,0,1
7,30,35,3,29.15,2020.0,0,1
7,120,8,3,29.75,2020.0,0,1
46,68,6,20,50.0,2020.0,0,1
41,55,13,13,7.5,2020.0,0,1
7,42,27,3,30.8,2020.0,0,1
46,68,6,20,50.0,2020.0,0,1
7,120,8,3,29.75,2020.0,0,1
46,35,6,20,50.0,2020.0,0,1
7,0,35,3,5.3,2020.0,0,1
53,3,5,20,12.0,2020.0,0,0
52,110,18,17,62.0,2020.0,0,1
32,19,28,9,112.5,2020.0,1,1
48,69,6,20,120.0,2020.0,0,1
15,121,8,3,62.0,2020.0,0,1
7,21,34,3,62.0,2020.0,0,1
42,102,2,10,48.5,2020.0,0,1
46,35,6,20,50.0,2020.0,0,1
20,0,12,18,62.0,2020.0,0,1
7,30,35,3,29.15,2020.0,0,0
42,102,2,10,48.5,2020.0,0,1
48,69,6,20,153.0,2020.0,0,1
7,33,35,3,30.8,2020.0,0,1
3,102,2,10,48.5,2020.0,0,1
46,35,6,20,50.0,2020.0,0,1
52,110,18,17,62.0,2020.0,0,1
7,31,34,3,62.0,2020.0,0,0
7,30,35,3,29.15,2020.0,0,1
46,68,6,20,50.0,2020.0,0,1
52,109,18,17,48.5,2020.0,0,1
7,33,35,3,29.75,2020.0,0,1
3,7,7,4,200.0,2020.0,0,1
46,68,6,20,50.0,2020.0,0,1
36,44,32,20,85.0,2020.0,0,1
48,69,6,20,115.0,2020.0,0,1
21,12,22,7,62.0,2020.0,0,0
32,18,28,9,90.0,2020.0,0,1
3,102,2,10,48.5,2020.0,0,1
41,55,13,13,7.5,2020.0,0,1
46,68,6,20,50.0,2020.0,0,1
46,35,6,20,50.0,2020.0,0,1
3,7,7,4,200.0,2020.0,0,1
15,121,8,3,62.0,2020.0,0,1
7,42,27,3,29.75,2020.0,0,1
7,30,35,3,29.15,2020.0,0,1
46,68,6,20,50.0,2020.0,0,1
7,21,34,3,62.0,2019.0,0,1
52,90,18,17,41.8,2019.0,1,1
42,115,2,10,65.0,2019.0,0,1
48,69,6,20,62.0,2019.0,0,1
7,42,27,3,64.68,2019.0,0,1
3,9,7,4,62.0,2019.0,0,1
46,68,6,20,50.0,2019.0,0,1
7,33,35,3,62.0,2019.0,0,1
5,1,29,20,62.0,2019.0,0,1
23,11,21,6,21.0,2019.0,0,1
52,109,18,17,48.5,2019.0,0,1
15,120,8,3,62.0,2019.0,0,1
15,0,27,3,62.0,2019.0,0,1
42,102,2,10,48.5,2019.0,0,1
41,55,13,13,7.5,2019.0,0,1
46,68,6,20,50.0,2019.0,0,1
7,42,27,3,64.68,2019.0,0,1
23,81,21,6,31.0,2019.0,0,1
3,7,7,4,200.0,2019.0,0,1
52,110,18,17,62.0,2019.0,0,1
7,33,35,3,62.0,2019.0,0,1
15,121,8,3,62.0,2019.0,0,1
7,26,27,3,62.0,2019.0,0,1
15,121,8,3,62.0,2019.0,0,1
46,68,6,20,50.0,2019.0,0,1
7,30,35,3,29.15,2019.0,0,1
7,42,27,3,64.68,2019.0,0,1
36,44,32,20,85.0,2019.0,0,1
16,128,24,12,62.0,2019.0,0,0
7,33,35,3,29.15,2019.0,0,1
41,55,13,13,7.5,2019.0,0,1
36,123,6,20,40.0,2019.0,0,1
19,100,2,10,65.0,2019.0,0,1
7,42,27,3,64.68,2019.0,0,1
52,110,18,17,48.5,2019.0,0,1
42,82,2,10,62.0,2019.0,1,1
7,120,8,3,29.75,2019.0,0,1
32,19,28,9,112.5,2019.0,1,1
7,30,35,3,62.0,2019.0,0,1
7,121,8,3,5.3,2019.0,0,1
7,42,27,3,64.68,2019.0,0,1
15,121,8,3,62.0,2019.0,0,1
52,90,18,17,41.8,2019.0,1,1
21,12,22,7,62.0,,0,0
48,65,6,20,164.0,2019.0,1,1
42,102,2,10,48.5,2019.0,0,1
41,55,13,13,7.5,2019.0,0,1
7,30,35,3,29.15,2019.0,0,1
7,121,8,3,7.5,2019.0,0,1
48,69,6,20,153.0,2019.0,0,1
46,68,6,20,50.0,2019.0,0,1
3,7,7,4,200.0,2019.0,0,1
42,115,2,10,65.0,2019.0,0,1
42,102,2,10,48.5,2019.0,0,1
52,110,18,17,48.5,2019.0,0,1
7,33,35,3,30.8,2019.0,0,1
46,68,6,20,50.0,2019.0,0,1
55,121,8,3,62.0,2019.0,0,1
23,81,21,6,62.0,2019.0,0,1
42,82,2,10,62.0,2019.0,1,1
42,115,2,10,65.0,2019.0,0,1
3,10,7,4,37.0,2019.0,0,0
52,110,18,17,62.0,2019.0,0,1
42,99,33,17,62.0,2019.0,0,1
16,128,24,12,62.0,2019.0,0,0
41,55,13,13,7.5,2019.0,0,1
46,35,6,20,90.0,2019.0,0,1
7,33,35,3,29.15,2019.0,0,1
3,7,7,4,200.0,2019.0,0,1
46,71,5,20,50.0,2019.0,0,1
7,0,26,21,5.3,2019.0,0,1
42,100,2,10,65.0,2019.0,0,1
42,110,18,17,62.0,2019.0,0,1
46,68,6,20,50.0,2019.0,0,1
7,42,27,3,64.68,2019.0,0,0
23,11,21,6,21.0,2019.0,0,1
7,30,35,3,62.0,2019.0,0,1
41,55,13,13,7.5,2019.0,0,1
46,68,6,20,50.0,2019.0,0,1
5,1,29,20,62.0,2019.0,0,1
7,0,27,3,64.68,2019.0,0,1
7,33,35,3,29.15,2019.0,0,1
36,44,32,20,85.0,2019.0,1,1
46,35,6,20,90.0,2019.0,0,1
3,9,7,4,62.0,2019.0,0,1
42,102,2,10,48.5,2019.0,0,1
23,81,21,6,21.0,2019.0,0,1
7,30,35,3,29.15,2019.0,0,1
41,55,13,13,7.5,2019.0,0,1
38,121,8,3,62.0,2019.0,0,0
3,10,7,4,37.0,2019.0,0,1
48,65,6,20,62.0,2019.0,1,1
42,82,2,10,62.0,2019.0,1,1
7,33,35,3,29.15,2019.0,0,1
16,128,24,12,62.0,2019.0,0,0
46,35,6,20,50.0,2019.0,0,1
3,9,7,4,62.0,2019.0,0,1
46,68,6,20,50.0,2019.0,0,1
52,102,2,10,62.0,2019.0,0,1
3,7,7,4,200.0,2019.0,0,1
21,12,22,7,62.0,,0,0
23,11,21,6,62.0,2019.0,0,1
5,1,29,20,62.0,2019.0,0,1
7,121,8,3,5.3,2019.0,0,1
48,75,5,20,350.0,2019.0,0,1
24,49,31,9,39.0,2019.0,0,1
21,12,22,7,62.0,2019.0,0,0
46,71,5,20,50.0,2019.0,0,1
7,30,35,3,29.15,2019.0,0,1
7,120,8,3,62.0,2018.0,0,1
42,99,33,17,48.5,2018.0,0,1
7,33,35,3,62.0,2018.0,0,1
46,68,6,20,50.0,2018.0,0,1
7,121,8,3,5.3,2018.0,0,1
52,100,2,10,65.0,2018.0,0,1
3,9,7,4,62.0,2018.0,0,1
23,81,21,6,47.0,2018.0,0,1
41,55,13,13,7.5,2018.0,0,1
7,30,35,3,29.15,2018.0,0,1
7,120,8,3,29.75,2018.0,0,1
46,68,6,20,50.0,2018.0,0,1
3,7,7,4,200.0,2018.0,0,1
46,71,5,20,50.0,2018.0,0,1
42,82,2,10,62.0,2018.0,1,1
52,90,18,17,41.8,2018.0,1,1
23,11,21,6,21.0,2018.0,0,1
3,10,7,4,37.0,2018.0,0,1
7,120,8,3,29.75,2018.0,0,1
7,33,35,3,62.0,2018.0,0,1
36,44,32,20,85.0,2018.0,1,1
42,102,2,10,62.0,2018.0,1,1
46,35,6,20,50.0,2018.0,0,1
23,81,21,6,62.0,2018.0,0,1
41,55,13,13,7.5,2018.0,0,1
3,9,7,4,62.0,2018.0,0,1
52,110,18,17,48.5,2018.0,0,1
7,30,35,3,29.15,2018.0,0,1
32,18,28,9,90.0,2018.0,0,1
7,120,8,3,30.8,2018.0,0,1
30,121,8,3,62.0,2018.0,1,0
42,110,18,17,35.0,2018.0,0,1
7,42,27,3,64.68,2018.0,0,1
3,7,7,4,200.0,2018.0,0,1
48,69,6,20,153.0,2018.0,0,1
7,33,35,3,62.0,2018.0,0,1
42,82,2,10,62.0,2018.0,1,0
7,120,8,3,30.8,2018.0,0,1
46,71,5,20,50.0,2018.0,0,1
15,121,8,3,62.0,2018.0,0,1
3,7,7,4,200.0,2018.0,0,1
32,19,28,9,112.5,2018.0,1,1
7,30,35,3,62.0,2018.0,0,1
23,11,21,6,21.0,2018.0,0,1
48,62,5,20,62.0,2018.0,1,1
46,68,6,20,50.0,2018.0,0,1
7,0,27,3,30.8,2018.0,0,1
16,128,24,12,62.0,2018.0,0,0
7,33,35,3,62.0,2018.0,0,1
3,10,7,4,37.0,2018.0,0,1
48,65,6,20,350.0,2018.0,0,1
46,68,6,20,50.0,2018.0,0,1
7,42,27,3,64.68,2018.0,0,1
7,33,35,3,62.0,2018.0,0,1
46,71,5,20,50.0,2018.0,0,1
3,7,7,4,62.0,2018.0,1,1
46,68,6,20,50.0,2018.0,0,1
5,1,29,20,62.0,2018.0,0,1
42,102,2,10,48.5,2018.0,0,1
7,30,35,3,69.7,2018.0,0,1
7,120,8,3,30.8,2018.0,0,1
46,68,6,20,62.0,2018.0,1,1
7,33,35,3,30.8,2018.0,0,1
52,110,18,17,62.0,2018.0,0,1
32,18,28,9,90.0,2018.0,0,1
42,82,2,10,62.0,2018.0,1,1
7,30,35,3,69.7,2018.0,0,1
46,68,6,20,62.0,2018.0,1,1
7,120,8,3,29.75,2018.0,0,1
46,71,5,20,62.0,2018.0,1,1
36,44,32,20,85.0,2018.0,1,1
7,33,35,3,64.68,2018.0,0,1
46,35,6,20,50.0,2018.0,0,1
7,42,27,3,64.68,2018.0,0,1
48,66,5,20,109.0,2018.0,0,1
7,30,35,3,29.15,2018.0,0,1
5,1,29,20,62.0,2018.0,0,1
7,121,8,3,5.3,2018.0,0,1
14,90,18,17,41.8,2018.0,1,1
46,68,6,20,62.0,2018.0,1,1
52,115,2,10,65.0,2018.0,0,1
48,69,6,20,153.0,2018.0,0,1
23,11,21,6,31.0,2018.0,0,1
7,120,8,3,64.68,2018.0,0,1
3,7,7,4,200.0,2018.0,0,1
46,68,6,20,62.0,2018.0,1,1
7,42,27,3,64.68,2018.0,0,1
46,71,5,20,62.0,2018.0,1,1
7,30,35,3,62.0,2018.0,0,1
42,110,18,17,62.0,2018.0,0,1
23,81,21,6,47.0,2018.0,0,1
42,82,2,10,62.0,2018.0,1,1
7,120,8,3,29.75,2018.0,0,1
3,9,7,4,62.0,2018.0,0,1
46,68,6,20,62.0,2018.0,1,1
48,69,6,20,145.0,2018.0,0,1
32,18,28,9,90.0,2018.0,0,1
46,71,5,20,62.0,2018.0,1,1
42,102,2,10,48.5,2018.0,0,1
7,30,35,3,62.0,2018.0,0,1
46,35,6,20,90.0,2018.0,0,1
24,0,31,9,62.0,2018.0,0,1
7,120,8,3,29.75,2018.0,0,1
42,99,33,17,48.5,2018.0,0,1
46,68,6,20,62.0,2018.0,1,1
3,7,7,4,200.0,2018.0,0,0
7,33,35,3,30.8,2018.0,0,1
41,55,13,13,7.5,2018.0,0,1
48,69,6,20,115.0,2018.0,0,1
7,121,8,3,5.3,2018.0,0,1
24,49,31,9,39.0,2018.0,0,1
7,120,8,3,29.75,2018.0,0,1
48,75,5,20,62.0,2018.0,1,1
23,11,21,6,31.0,2018.0,0,1
7,30,35,3,62.0,2018.0,0,1
7,42,27,3,29.75,2018.0,0,1
46,68,6,20,62.0,2018.0,1,1
29,111,2,10,62.0,2017.0,0,1
7,33,35,3,30.8,2017.0,0,1
7,120,8,3,29.75,2017.0,0,1
46,71,5,20,62.0,2017.0,1,1
32,18,28,9,90.0,2017.0,0,1
42,82,2,10,62.0,2017.0,1,1
5,1,29,20,62.0,,0,1
46,68,6,20,62.0,2017.0,1,1
3,7,7,4,62.0,2017.0,1,1
7,30,35,3,29.15,2017.0,0,1
7,120,8,3,29.75,2017.0,0,1
52,110,18,17,35.0,2017.0,0,1
42,99,33,17,62.0,2017.0,0,0
7,33,35,3,30.8,2017.0,0,1
7,26,27,3,62.0,2017.0,0,1
48,62,5,20,62.0,2017.0,1,1
7,42,27,3,64.68,2017.0,0,1
36,44,32,20,85.0,2017.0,1,1
3,10,7,4,37.0,2017.0,0,1
7,30,35,3,62.0,2017.0,0,1
36,74,5,20,45.0,2017.0,0,1
46,35,6,20,62.0,2017.0,1,1
48,69,6,20,123.0,2017.0,0,1
42,102,2,10,48.5,2017.0,0,1
14,90,18,17,41.8,2017.0,1,1
46,35,6,20,62.0,2017.0,1,1
32,18,28,9,90.0,2017.0,0,1
46,71,5,20,62.0,2017.0,1,1
7,120,8,3,29.75,2017.0,0,1
3,7,7,4,200.0,2017.0,0,1
7,33,35,3,30.8,2017.0,0,1
52,100,2,10,65.0,2017.0,0,1
48,66,5,20,145.0,2017.0,0,1
19,100,2,10,65.0,2017.0,0,1
46,35,6,20,62.0,2017.0,1,1
23,11,21,6,31.0,2017.0,0,0
36,70,6,20,46.0,2017.0,0,1
46,71,5,20,62.0,2017.0,1,1
52,110,18,17,62.0,2017.0,0,1
32,18,28,9,62.0,2017.0,0,1
48,69,6,20,109.0,2017.0,0,1
52,115,2,10,65.0,2017.0,0,1
46,35,6,20,62.0,2017.0,1,1
42,82,2,10,62.0,2017.0,1,1
3,10,7,4,37.0,2017.0,0,1
42,82,2,10,62.0,2017.0,1,1
21,12,22,7,62.0,,0,0
42,102,2,10,48.5,2017.0,0,0
46,35,6,20,62.0,2017.0,1,1
7,21,34,3,62.0,2017.0,0,0
3,7,7,4,200.0,2017.0,0,1
46,71,5,20,62.0,2017.0,1,1
46,35,6,20,62.0,2017.0,1,1
52,110,18,17,62.0,2017.0,0,1
23,11,21,6,31.0,2017.0,0,1
7,30,35,3,29.15,2017.0,0,0
7,120,8,3,64.68,2017.0,0,1
42,102,2,10,48.5,2017.0,0,1
19,115,2,10,65.0,2017.0,0,1
23,81,21,6,62.0,2017.0,0,1
46,35,6,20,62.0,2017.0,1,1
3,7,7,4,200.0,2017.0,0,1
32,18,28,9,90.0,2017.0,0,1
52,110,18,17,62.0,2017.0,0,1
41,55,13,13,7.5,2017.0,0,0
3,9,7,4,62.0,2017.0,0,1
46,35,6,20,62.0,2017.0,1,1
23,81,21,6,47.0,2017.0,0,1
3,7,7,4,200.0,2017.0,0,1
46,35,6,20,62.0,2017.0,1,1
7,31,34,3,62.0,2017.0,0,1
42,82,2,10,62.0,2017.0,1,1
48,69,6,20,109.0,2017.0,0,1
7,30,35,3,29.15,2017.0,0,1
46,35,6,20,62.0,2017.0,1,1
48,65,6,20,62.0,2017.0,1,1
32,18,28,9,90.0,2017.0,0,1
46,35,6,20,62.0,2017.0,1,1
3,10,7,4,37.0,2017.0,0,1
8,121,8,3,62.0,2017.0,0,1
48,66,5,20,109.0,2017.0,0,1
42,82,2,10,62.0,2017.0,1,1
46,35,6,20,62.0,2017.0,1,1
23,11,21,6,31.0,2017.0,0,1
3,7,7,4,200.0,2017.0,0,1
3,9,7,4,62.0,2017.0,0,1
32,18,28,9,62.0,2017.0,0,1
48,69,6,20,109.0,2017.0,0,1
24,0,31,9,62.0,2017.0,0,0
46,71,5,20,62.0,2017.0,1,1
15,121,8,3,62.0,2017.0,0,1
7,30,35,3,29.15,2017.0,0,1
7,42,27,3,29.75,2016.0,0,0
3,7,7,4,200.0,2016.0,0,1
7,120,8,3,29.75,2016.0,0,1
24,49,31,9,62.0,2016.0,0,1
48,69,6,20,130.0,2016.0,0,1
36,123,6,20,40.0,2016.0,0,1
7,33,35,3,29.15,2016.0,0,1
32,19,28,9,112.5,2016.0,1,1
48,65,6,20,62.0,2016.0,1,1
23,11,21,6,31.0,2016.0,0,1
3,10,7,4,37.0,2016.0,0,1
42,82,2,10,62.0,2016.0,1,0
7,30,35,3,62.0,2016.0,0,1
48,69,6,20,145.0,2016.0,0,1
42,82,2,10,62.0,2016.0,1,1
3,7,7,4,62.0,2016.0,1,1
7,120,8,3,29.75,2016.0,0,1
48,66,5,20,109.0,2016.0,0,1
7,121,8,3,5.3,2016.0,0,1
7,21,34,3,62.0,2016.0,0,1
32,18,28,9,90.0,2016.0,0,1
42,102,2,10,62.0,2016.0,1,1
36,44,32,20,85.0,2016.0,1,1
7,119,8,3,62.0,2016.0,0,1
5,1,29,20,62.0,2016.0,0,1
3,7,7,4,200.0,2016.0,0,1
23,11,21,6,25.0,2016.0,1,1
3,10,7,4,37.0,2016.0,0,1
7,119,8,3,62.0,2016.0,0,1
18,53,17,8,62.0,2016.0,0,1
48,69,6,20,115.0,2016.0,0,1
23,81,21,6,47.0,2016.0,0,1
46,68,6,20,62.0,2016.0,1,0
7,42,27,3,64.68,2016.0,0,0
3,7,7,4,200.0,2016.0,0,1
48,65,6,20,164.0,2016.0,1,1
7,120,8,3,29.75,2016.0,0,1
46,68,6,20,62.0,2016.0,1,1
7,42,27,3,64.68,2016.0,0,1
7,33,35,3,29.15,2016.0,0,1
48,69,6,20,123.0,2016.0,0,1
46,68,6,20,62.0,2016.0,1,1
42,102,2,10,62.0,2016.0,1,1
42,82,2,10,62.0,2016.0,1,1
7,120,8,3,64.68,2016.0,0,1
7,31,34,3,62.0,2016.0,0,1
48,69,6,20,153.0,2016.0,0,1
23,81,21,6,31.0,2016.0,0,1
5,1,29,20,62.0,2016.0,0,1
3,7,7,4,200.0,2016.0,0,1
46,68,6,20,62.0,2016.0,1,1
7,33,35,3,62.0,2016.0,0,1
48,65,6,20,350.0,2016.0,0,1
19,115,2,10,65.0,2016.0,0,1
52,90,18,17,41.8,2016.0,1,1
7,42,27,3,64.68,2016.0,0,1
52,110,18,17,48.5,2016.0,0,1
46,68,6,20,62.0,2016.0,1,1
3,9,7,4,62.0,2016.0,0,1
7,120,8,3,29.75,2016.0,0,1
46,68,6,20,62.0,2016.0,1,1
23,11,21,6,31.0,2016.0,0,1
42,99,33,17,62.0,2016.0,0,1
3,9,7,4,62.0,2016.0,0,1
46,68,6,20,62.0,2016.0,1,1
7,120,8,3,29.75,2016.0,0,1
5,1,29,20,62.0,,0,1
42,102,2,10,48.5,2016.0,0,1
7,30,35,3,69.7,2016.0,0,1
52,110,18,17,48.5,2016.0,0,1
48,69,6,20,109.0,2016.0,0,1
42,82,2,10,62.0,2016.0,1,1
42,100,2,10,65.0,2016.0,0,1
42,102,2,10,35.0,2016.0,0,1
23,81,21,6,31.0,2016.0,0,1
3,7,7,4,200.0,2016.0,0,1
46,68,6,20,62.0,2016.0,1,1
32,18,28,9,90.0,2016.0,0,1
14,90,18,17,41.8,2016.0,1,1
48,75,5,20,62.0,2016.0,1,1
26,53,23,14,62.0,2016.0,0,1
52,110,18,17,48.5,2016.0,0,1
48,69,6,20,109.0,2016.0,0,1
7,30,35,3,62.0,2016.0,0,1
19,100,2,10,65.0,2016.0,0,1
3,7,7,4,200.0,2016.0,0,1
5,1,29,20,62.0,,0,1
23,81,21,6,31.0,2016.0,0,1
46,71,5,20,56.5,2016.0,1,1
7,33,35,3,29.15,2016.0,0,1
46,68,6,20,62.0,2015.0,1,1
3,9,7,4,62.0,2015.0,0,1
23,11,21,6,21.0,2015.0,0,1
42,111,2,10,62.0,2015.0,0,1
48,69,6,20,109.0,2015.0,0,1
52,110,18,17,62.0,2015.0,0,0
3,10,7,4,37.0,2015.0,0,1
32,18,28,9,62.0,2015.0,0,1
5,1,29,20,62.0,,0,1
3,7,7,4,200.0,2015.0,0,1
44,47,10,15,15.0,,0,0
48,69,6,20,109.0,2015.0,0,1
48,66,5,20,109.0,2015.0,0,1
48,69,6,20,123.0,2015.0,0,1
3,7,7,4,200.0,2015.0,0,1
23,11,21,6,31.0,2015.0,0,1
7,121,8,3,5.3,,0,1
52,90,18,17,41.8,2015.0,1,1
7,26,27,3,62.0,2015.0,0,1
3,9,7,4,62.0,2015.0,0,1
48,69,6,20,153.0,2015.0,0,1
23,81,21,6,47.0,2015.0,0,1
3,7,7,4,200.0,2015.0,0,1
32,19,28,9,112.5,2015.0,1,1
48,65,6,20,62.0,2015.0,1,1
3,7,7,4,200.0,2015.0,0,1
48,69,6,20,109.0,2015.0,0,1
23,11,21,6,31.0,2015.0,0,1
46,68,6,20,56.5,2015.0,1,0
3,10,7,4,37.0,2015.0,0,1
3,7,7,4,200.0,2015.0,0,1
48,69,6,20,120.0,2015.0,0,1
5,1,29,20,62.0,,0,1
46,68,6,20,56.5,2015.0,1,1
3,7,7,4,200.0,2015.0,0,1
46,68,6,20,56.5,2015.0,1,1
52,90,18,17,41.8,2015.0,1,1
23,81,21,6,31.0,2015.0,0,1
3,9,7,4,62.0,2015.0,0,1
32,18,28,9,90.0,2015.0,0,1
28,106,36,17,29.0,2015.0,1,1
48,65,6,20,164.0,2015.0,1,1
48,69,6,20,123.0,2015.0,0,1
46,68,6,20,56.5,2015.0,1,1
21,12,22,7,62.0,,0,0
46,68,6,20,56.5,2015.0,1,1
3,10,7,4,37.0,2015.0,0,1
21,12,22,7,62.0,,0,1
32,18,28,9,90.0,2015.0,0,1
48,62,5,20,62.0,2015.0,1,1
48,69,6,20,153.0,2015.0,0,1
46,68,6,20,56.5,2015.0,1,1
27,105,18,17,62.0,2014.0,0,1
52,97,2,10,62.0,2014.0,1,1
3,9,7,4,62.0,2014.0,0,1
23,81,21,6,62.0,2014.0,0,1
48,66,5,20,145.0,2014.0,0,1
3,7,7,4,200.0,2014.0,0,1
48,65,6,20,350.0,2014.0,0,1
32,18,28,9,90.0,2014.0,0,1
8,121,8,3,62.0,2014.0,1,1
28,106,36,17,29.0,2014.0,1,1
48,69,6,20,109.0,2014.0,0,1
36,44,32,20,80.0,2014.0,1,0
3,7,7,4,200.0,2014.0,0,1
23,11,21,6,31.0,2014.0,0,1
32,18,28,9,90.0,2014.0,0,1
46,68,6,20,56.5,2014.0,1,1
48,69,6,20,109.0,2014.0,0,1
3,7,7,4,200.0,2014.0,0,1
